s1,s2,s3,s4,s5,s6,label
-3876,-96.0,16868.0,281.0,58.0,-211,idle
-3884,-120.0,16988.0,286.0,55.0,-213,idle
-3888,-100.0,16928.0,286.0,43.0,-205,idle
-3844,-24.0,16896.0,264.0,48.0,-216,idle
-3900,-104.0,16980.0,260.0,31.0,-210,idle
-3864,-112.0,16904.0,274.0,20.0,-210,idle
-3892,-136.0,16972.0,265.0,49.0,-216,idle
-3868,-120.0,16932.0,276.0,70.0,-195,idle
-3816,-128.0,16996.0,278.0,43.0,-219,idle
-3904,-72.0,16928.0,259.0,33.0,-187,idle
-3924,-108.0,16832.0,295.0,57.0,-224,idle
-3788,-36.0,16896.0,297.0,59.0,-213,idle
-3840,-112.0,16788.0,296.0,48.0,-200,idle
-3848,-116.0,16976.0,275.0,71.0,-218,idle
-3864,-124.0,17096.0,262.0,67.0,-213,idle
-3884,-164.0,16824.0,300.0,40.0,-190,idle
-3876,-104.0,16968.0,298.0,47.0,-230,idle
-3880,-164.0,16900.0,291.0,23.0,-220,idle
-3832,-132.0,16980.0,283.0,24.0,-203,idle
-3868,-48.0,16800.0,287.0,11.0,-186,idle
-3908,-144.0,17036.0,268.0,49.0,-201,idle
-3860,-104.0,16860.0,305.0,76.0,-179,idle
-3864,-140.0,16908.0,304.0,65.0,-204,idle
-3880,-124.0,16864.0,309.0,76.0,-207,idle
-3776,-120.0,16948.0,279.0,49.0,-197,idle
-3820,-84.0,16908.0,272.0,75.0,-232,idle
-3836,-92.0,16948.0,264.0,61.0,-228,idle
-3832,-88.0,16896.0,305.0,34.0,-231,idle
-3860,-132.0,16984.0,285.0,38.0,-209,idle
-3900,-112.0,17016.0,299.0,20.0,-190,idle
-3916,-84.0,16988.0,276.0,14.0,-208,idle
-3796,-148.0,16888.0,281.0,47.0,-191,idle
-3896,-168.0,16788.0,286.0,73.0,-212,idle
-3908,-108.0,16888.0,286.0,63.0,-199,idle
-3896,-108.0,16960.0,264.0,88.0,-242,idle
-3888,-76.0,16964.0,264.0,58.0,-212,idle
-3848,-76.0,16864.0,294.0,48.0,-194,idle
-3864,-128.0,16920.0,288.0,73.0,-193,idle
-3892,-112.0,16948.0,289.0,53.0,-203,idle
-3872,-100.0,16876.0,305.0,71.0,-199,idle
-3860,-144.0,16888.0,273.0,64.0,-219,idle
-3876,-84.0,16796.0,286.0,38.0,-224,idle
-3852,-160.0,16888.0,286.0,33.0,-182,idle
-3884,-104.0,16912.0,279.0,60.0,-201,idle
-3824,-104.0,16912.0,329.0,45.0,-227,idle
-3876,-112.0,16932.0,301.0,70.0,-214,idle
-3912,-92.0,16984.0,292.0,97.0,-203,idle
-3920,-88.0,16876.0,298.0,46.0,-198,idle
-3888,-108.0,16892.0,269.0,72.0,-191,idle
-3888,-40.0,16976.0,259.0,51.0,-213,idle
-3872,-136.0,16980.0,295.0,41.0,-225,idle
-3904,-140.0,16904.0,303.0,96.0,-196,idle
-3848,-128.0,17028.0,279.0,24.0,-201,idle
-3924,-148.0,16984.0,320.0,57.0,-236,idle
-3904,-124.0,16996.0,285.0,-14.0,-194,idle
-3892,-88.0,16900.0,305.0,36.0,-183,idle
-3920,-124.0,16932.0,290.0,46.0,-208,idle
-3900,-72.0,16944.0,278.0,53.0,-199,idle
-3876,-124.0,16852.0,333.0,69.0,-177,idle
-3888,-108.0,16880.0,296.0,64.0,-216,idle
-3940,-156.0,16968.0,272.0,68.0,-209,idle
-3864,-100.0,16936.0,291.0,46.0,-196,idle
-3856,-76.0,16984.0,288.0,37.0,-203,idle
-3840,-128.0,17028.0,272.0,66.0,-184,idle
-3844,-116.0,17008.0,288.0,88.0,-204,idle
-3900,-160.0,16988.0,288.0,42.0,-190,idle
-3808,-132.0,17008.0,278.0,55.0,-171,idle
-3924,-84.0,16972.0,243.0,46.0,-206,idle
-3916,-144.0,16956.0,302.0,36.0,-199,idle
-3856,-124.0,16936.0,264.0,47.0,-208,idle
-3868,-68.0,16984.0,281.0,37.0,-183,idle
-3828,-152.0,16904.0,278.0,59.0,-236,idle
-3900,-136.0,16944.0,290.0,30.0,-204,idle
-3944,-108.0,16936.0,293.0,49.0,-212,idle
-3888,-144.0,16920.0,287.0,11.0,-199,idle
-3832,-104.0,16828.0,291.0,74.0,-215,idle
-3852,-136.0,16996.0,299.0,52.0,-222,idle
-3872,-84.0,16956.0,257.0,87.0,-198,idle
-3868,-172.0,16924.0,282.0,59.0,-166,idle
-3884,-104.0,16924.0,290.0,64.0,-210,idle
-3804,-116.0,16868.0,288.0,55.0,-185,idle
-3828,-120.0,17004.0,292.0,14.0,-218,idle
-3888,-120.0,16840.0,257.0,21.0,-182,idle
-3928,-92.0,16988.0,268.0,33.0,-216,idle
-3872,-104.0,16876.0,305.0,77.0,-233,idle
-3844,-104.0,16820.0,269.0,59.0,-208,idle
-3820,-68.0,16936.0,284.0,72.0,-199,idle
-3880,-88.0,16960.0,280.0,70.0,-226,idle
-3868,-124.0,16920.0,278.0,69.0,-198,idle
-3812,-148.0,16960.0,296.0,51.0,-216,idle
-3816,-152.0,16964.0,278.0,24.0,-205,idle
-3892,-180.0,16980.0,260.0,36.0,-192,idle
-3772,-52.0,16896.0,305.0,50.0,-205,idle
-3820,-88.0,16896.0,309.0,70.0,-197,idle
-3916,-140.0,16948.0,301.0,51.0,-198,idle
-3952,-80.0,16912.0,262.0,54.0,-183,idle
-3892,-188.0,16904.0,303.0,94.0,-210,idle
-3856,-160.0,16936.0,277.0,59.0,-223,idle
-3884,-100.0,17000.0,272.0,42.0,-215,idle
-3956,-92.0,16960.0,285.0,45.0,-207,idle
-3832,-112.0,16968.0,289.0,73.0,-217,idle
-3852,-64.0,16936.0,294.0,70.0,-180,idle
-3900,-76.0,16892.0,271.0,57.0,-208,idle
-3872,-72.0,16852.0,326.0,76.0,-213,idle
-3804,-92.0,16936.0,307.0,31.0,-196,idle
-3860,-52.0,16816.0,271.0,60.0,-180,idle
-3800,-108.0,16948.0,253.0,70.0,-193,idle
-3856,-60.0,16912.0,304.0,74.0,-204,idle
-3872,-152.0,16912.0,270.0,64.0,-208,idle
-3888,-80.0,16932.0,250.0,18.0,-199,idle
-3844,-112.0,16860.0,268.0,30.0,-228,idle
-3828,-48.0,16916.0,267.0,21.0,-212,idle
-3876,-96.0,16936.0,283.0,47.0,-178,idle
-3876,-168.0,16808.0,272.0,81.0,-210,idle
-3844,-160.0,16996.0,285.0,52.0,-208,idle
-3880,-120.0,16892.0,307.0,57.0,-190,idle
-3856,-104.0,16840.0,312.0,49.0,-202,idle
-3868,-72.0,16904.0,298.0,75.0,-213,idle
-3844,-124.0,16856.0,278.0,71.0,-232,idle
-3888,-96.0,16948.0,294.0,76.0,-195,idle
-3852,-108.0,16884.0,284.0,62.0,-222,idle
-3860,-176.0,16980.0,273.0,56.0,-231,idle
-3852,-104.0,16892.0,263.0,52.0,-169,idle
-3848,-128.0,16968.0,284.0,51.0,-233,idle
-3888,-136.0,16820.0,263.0,5.0,-209,idle
-3880,-68.0,16972.0,280.0,39.0,-225,idle
-3840,-124.0,16860.0,290.0,63.0,-198,idle
-3852,-84.0,16960.0,302.0,56.0,-221,idle
-3964,-136.0,16904.0,295.0,41.0,-212,idle
-3892,-64.0,16964.0,292.0,75.0,-214,idle
-3872,-68.0,16812.0,294.0,70.0,-229,idle
-3860,-144.0,16904.0,280.0,63.0,-211,idle
-3832,-104.0,16972.0,281.0,53.0,-202,idle
-3844,-112.0,17008.0,291.0,44.0,-180,idle
-3872,-140.0,16980.0,304.0,48.0,-198,idle
-3868,-148.0,16956.0,278.0,19.0,-193,idle
-3908,-100.0,16908.0,312.0,47.0,-187,idle
-3876,-56.0,16960.0,267.0,14.0,-190,idle
-3900,-148.0,16936.0,287.0,46.0,-205,idle
-3900,-140.0,16912.0,304.0,9.0,-202,idle
-3800,-120.0,16956.0,267.0,54.0,-199,idle
-3856,-124.0,16940.0,306.0,32.0,-194,idle
-3888,-112.0,16848.0,281.0,43.0,-198,idle
-3828,-96.0,16920.0,294.0,68.0,-213,idle
-3924,-60.0,16952.0,288.0,90.0,-199,idle
-3916,-84.0,16844.0,281.0,74.0,-202,idle
-3896,-132.0,16972.0,282.0,79.0,-189,idle
-3844,-148.0,16940.0,287.0,49.0,-196,idle
-3904,-136.0,16824.0,278.0,83.0,-218,idle
-3828,-80.0,16884.0,272.0,40.0,-212,idle
-3840,-120.0,16944.0,281.0,45.0,-194,idle
-3868,-176.0,16936.0,278.0,45.0,-192,idle
-3884,-100.0,16972.0,286.0,-11.0,-195,idle
-3884,-104.0,16916.0,291.0,-1.0,-186,idle
-3868,-144.0,16920.0,309.0,44.0,-195,idle
-3916,-168.0,16924.0,298.0,32.0,-207,idle
-3796,-140.0,16924.0,279.0,50.0,-209,idle
-3900,-128.0,16916.0,260.0,72.0,-213,idle
-3884,-112.0,16936.0,293.0,59.0,-218,idle
-3912,-48.0,16972.0,274.0,66.0,-212,idle
-3920,-112.0,16876.0,271.0,67.0,-219,idle
