s1,s2,s3,s4,s5,s6,label
-4160,24060,10276,-32768,21541,-29829,tilt
-1688,22688,9056,-32768,21976,-30543,tilt
848,16724,2728,-32768,23257,-24251,tilt
-436,240,-16440,-32768,-511,-3967,tilt
-2288,-10896,-25272,32767,-23189,12579,tilt
1968,14676,-4772,32767,-26472,19020,tilt
3764,32424,13420,32767,-24793,30164,tilt
-536,32767,21528,32767,-22730,32635,tilt
-4868,28592,24492,32767,-18479,22878,tilt
-8868,20948,29344,27812,-12956,7937,tilt
-4996,22756,29244,-31287,3035,-8952,tilt
-2216,28280,21072,-32768,32767,-21866,tilt
-1136,32412,12568,-32768,32516,-28030,tilt
104,28940,4004,-32768,30971,-29462,tilt
2216,21584,-1012,-32768,28231,-23644,tilt
1464,8248,-20548,-32768,11027,-10544,tilt
-3328,-10584,-32696,32767,-32768,7098,tilt
7012,20652,-3856,32767,-32768,13122,tilt
7552,32767,21732,32767,-32768,18045,tilt
812,32767,29336,32767,-15831,17746,tilt
-2808,25456,27556,32767,-5963,13303,tilt
-4792,19940,24324,24792,3106,3875,tilt
-6012,19004,22856,-21871,10495,-7004,tilt
-5640,26076,15200,-32768,24918,-21104,tilt
-2420,27392,9916,-32768,24858,-30701,tilt
-1204,26776,8348,-32768,22393,-32240,tilt
-752,25944,10192,-32768,24011,-30621,tilt
-1420,19976,6388,-32768,23287,-25874,tilt
1396,7892,-12832,-32768,21077,-15375,tilt
-2588,-18156,-32768,22755,-23657,4333,tilt
3796,6528,-11548,32767,-32768,13995,tilt
5120,32767,17252,32767,-32768,22514,tilt
-216,32767,30444,32767,-22583,17644,tilt
-1880,26984,32344,32767,-7925,12322,tilt
-5472,21444,30484,30798,-3997,6795,tilt
-6100,20512,26476,-25454,1886,-5114,tilt
-7556,21956,19592,-32768,18464,-15364,tilt
-4456,22072,17696,-32768,26850,-22094,tilt
-1516,24208,15784,-32768,31727,-24017,tilt
-1072,24116,11276,-32768,30318,-20472,tilt
3684,18060,-1848,-32768,30197,-12575,tilt
-1920,-2868,-29756,-32768,7606,-958,tilt
-2844,-10740,-32768,32767,-32089,5772,tilt
11188,19044,-6936,32767,-32768,22054,tilt
11384,32767,11536,32767,-32768,26843,tilt
7368,32767,27300,32767,-32768,22413,tilt
1688,32767,32767,32767,-24760,17255,tilt
-7092,23728,32767,32767,-13678,5665,tilt
-660,25080,32767,-32768,14649,-9802,tilt
2140,32767,23432,-32768,32767,-20631,tilt
4764,32767,14608,-32768,32767,-30102,tilt
5588,32767,4744,-32768,32767,-32768,tilt
5532,32767,-1152,-32768,32767,-27883,tilt
5396,16752,-14528,-32768,32767,-20459,tilt
-1792,-7692,-32768,-24263,-3313,-8368,tilt
1136,-7716,-32768,32767,-32768,-1186,tilt
13132,28600,7964,32767,-32768,9304,tilt
11176,32767,32767,32767,-32768,5655,tilt
4588,32767,32767,32767,-30262,-310,tilt
-3400,17004,32767,32767,-8386,-4985,tilt
-1192,16044,32767,-22531,25197,-9834,tilt
572,28724,25108,-32768,32767,-10474,tilt
-2248,32767,11416,-32768,32767,-17817,tilt
3684,24308,-4028,-32768,32767,-16888,tilt
716,10488,-31264,-32768,13860,-3460,tilt
-2628,-6384,-32768,32767,-32768,3273,tilt
12144,26284,-1164,32767,-32768,-51,tilt
10188,32767,22188,32767,-31769,7010,tilt
6460,32767,30356,32767,-26081,7259,tilt
1024,24760,32767,32767,-17895,8381,tilt
-2852,17912,32767,18854,2115,2278,tilt
-1220,25024,25832,-32768,26931,-10417,tilt
1092,30876,15724,-32768,32767,-20796,tilt
1932,32564,10264,-32768,32767,-26595,tilt
4604,32767,13872,-32768,32767,-28599,tilt
6360,32767,9264,-32768,32767,-28572,tilt
8872,23044,-13428,-32768,32767,-25290,tilt
-3624,-11432,-32768,-21685,-10810,-5887,tilt
7580,-2340,-31128,32767,-32768,6871,tilt
15716,32767,12960,32767,-32768,21347,tilt
4464,32767,32767,32767,-32768,14893,tilt
-3252,29900,32767,32767,-22686,-649,tilt
584,18832,32767,12758,11393,-7775,tilt
1588,28796,32767,-32768,32767,-10366,tilt
-212,32767,22296,-32768,32767,-26653,tilt
60,32767,1236,-32768,32767,-30936,tilt
9620,22184,-20404,-32768,32767,-27663,tilt
-1456,-9348,-32768,-15016,-20502,-8106,tilt
7732,-928,-20020,32767,-32768,10397,tilt
11336,32767,8472,32767,-32768,23547,tilt
3468,32767,23252,32767,-29411,23840,tilt
2112,32767,28480,32767,-14601,20526,tilt
-7528,25292,32767,32767,-12505,15318,tilt
-1,-1,-1,-1,-1,-1,tilt
-1564,31696,25208,0,0,0,tilt
3720,32767,12332,-32768,32767,-32768,tilt
6204,32767,2480,-32768,32767,-32768,tilt
7284,32767,-3436,-32768,32767,-32768,tilt
8728,17060,-24576,-32768,32767,-30978,tilt
2460,-13564,-32768,-2977,-32768,-5900,tilt
10348,6408,-21744,32767,-32768,15376,tilt
16972,32767,11364,32767,-32768,24417,tilt
6176,32767,27156,32767,-32768,23125,tilt
-3604,32767,32767,32767,-23170,20584,tilt
-7740,22652,32767,28202,-4359,3925,tilt
-808,31428,32767,-32768,32767,-15224,tilt
1316,32767,20312,-32768,32767,-32768,tilt
6248,32767,5016,-32768,32767,-32768,tilt
10456,32767,-3556,-32768,32767,-32768,tilt
8768,21228,-20716,-32768,32767,-32768,tilt
848,-5904,-32768,-20473,-12899,-13550,tilt
7980,-2652,-21276,32767,-32768,8829,tilt
12232,29432,4752,32767,-32768,24557,tilt
8860,32767,23004,32767,-32768,24877,tilt
8084,32767,32580,32767,-32768,21711,tilt
-2048,29104,32767,32767,-23808,20909,tilt
-8816,22484,32767,19033,-6819,5608,tilt
-4660,24588,32767,-32768,24457,-15275,tilt
1020,32592,24716,-32768,32767,-26269,tilt
4436,32767,21316,-32768,32767,-32768,tilt
12432,32767,16240,-32768,32767,-32768,tilt
15476,32767,-3740,-32768,32767,-32768,tilt
7012,18044,-31624,-32768,32767,-32768,tilt
-1700,-16460,-32768,5398,-20628,-14332,tilt
20864,1196,-22680,32767,-32768,20135,tilt
13592,32767,5244,32767,-32768,32767,tilt
-1,-1,-1,-1,-1,-1,tilt
-4808,32767,32767,0,0,0,tilt
-9812,23808,32767,32767,-14939,7907,tilt
-9616,21160,32767,25739,526,-336,tilt
-600,32767,32767,-32768,32767,-29684,tilt
-1,-1,-1,-1,-1,-1,tilt
14512,32767,-3120,-32768,32767,-32768,tilt
5208,27352,-13844,-32768,32767,-32768,tilt
3204,5736,-24708,-32768,24880,-29957,tilt
4296,-12860,-32768,11778,-16432,-3628,tilt
6024,-2488,-21612,32767,-32768,23321,tilt
11068,30304,4188,32767,-32768,32767,tilt
11604,32767,24368,32767,-32768,32767,tilt
6512,32767,32767,32767,-32768,25160,tilt
-1620,32767,32767,32767,-18049,13893,tilt
-11044,21744,32767,32767,775,-1868,tilt
-1,-1,-1,-1,-1,-1,tilt
-1808,32767,27768,0,0,0,tilt
900,32767,23776,-32768,32767,-27251,tilt
12488,32767,8540,-32768,32767,-32768,tilt
12240,32767,-9956,-32768,32767,-32768,tilt
5956,12708,-29228,-32768,32767,-32768,tilt
6128,-13084,-32768,-10678,-5505,-15699,tilt
11240,-12208,-32768,32767,-32768,23819,tilt
15028,30420,-5316,32767,-32768,32767,tilt
13276,32767,20780,32767,-32768,32767,tilt
7616,32767,32767,32767,-32768,32179,tilt
-6144,32767,32767,32767,-19256,17736,tilt
-9812,26544,32767,16304,10782,-6211,tilt
-16,32767,32767,-32768,32767,-25738,tilt
5704,32767,22444,-32768,32767,-32768,tilt
-704,32767,22636,0,0,0,tilt
14744,32767,-9144,-32768,32767,-32768,tilt
6428,18300,-22016,-32768,32767,-32768,tilt
4612,-4712,-32768,-29841,10576,-17301,tilt
7760,-13392,-32768,32767,-32768,12181,tilt
16432,20344,-9176,32767,-32768,32767,tilt
17984,32767,17660,32767,-32768,32767,tilt
