s1,s2,s3,s4,s5,s6,label
5256,6472,23724,-18416,11945,30802,shake
1908,8808,21364,-27336,11794,32767,shake
-2428,8632,17872,-30154,9458,32767,shake
-7252,6664,14968,-26572,4521,32263,shake
-12676,4476,13936,-20673,-49,20844,shake
-13268,1432,11680,-12320,-3312,8225,shake
-14196,916,11284,-3377,-6085,-6673,shake
-13104,3304,10440,5388,-9774,-20786,shake
-10924,6060,10568,12969,-14903,-32768,shake
-6644,8392,11324,19373,-18155,-32768,shake
-2740,9212,12492,23743,-14647,-32768,shake
2188,8744,16744,24886,-10115,-32768,shake
4028,7248,22132,19766,-2401,-32768,shake
9120,5492,24132,7604,3357,-23975,shake
14092,964,22588,-2896,8625,-4355,shake
12616,1044,22572,-10796,11423,17533,shake
8100,4412,22584,-18453,9592,32184,shake
3764,7368,21272,-24595,7406,32767,shake
-4592,7008,19424,-28612,7242,32767,shake
-12856,3292,17272,-28039,1472,23870,shake
-14728,-1112,14576,-23549,-3350,6585,shake
-15544,144,12880,-18025,-2594,-11729,shake
-12692,2112,9256,-9393,-5312,-25923,shake
-8948,4572,8780,1279,-9007,-32768,shake
-4328,6196,10328,11775,-7864,-32768,shake
5756,5832,13908,16394,1344,-32768,shake
13180,-760,18444,16234,14474,-19064,shake
17112,-2848,21976,10160,22498,9495,shake
15044,480,23916,1303,21628,32767,shake
7164,6120,24588,-8329,14271,32767,shake
-5728,5712,20836,-15068,8095,32767,shake
-18600,2416,15204,-14100,612,30050,shake
-23576,1640,11900,-8838,-4640,5185,shake
-21172,3316,9832,-1646,-14499,-20903,shake
-14420,6000,8388,7633,-20462,-32768,shake
-5912,7248,9548,17533,-16291,-32768,shake
2304,8084,13388,22439,-7890,-32768,shake
13120,3440,19724,21923,3785,-32768,shake
17432,-1148,24556,14442,14519,-4700,shake
14964,-312,25264,4346,14759,19575,shake
10188,3580,26340,-6028,11811,32767,shake
3712,8108,23944,-16828,10047,32767,shake
-5660,9240,19340,-22882,8036,32767,shake
-13516,4664,15052,-21546,284,27760,shake
-16632,1228,12324,-15312,-5497,10527,shake
-17240,-216,9136,-6685,-9906,-8139,shake
-13932,1372,8288,4364,-12050,-24297,shake
-9336,4028,9848,14258,-11142,-32768,shake
-5580,6200,10652,21281,-7576,-32768,shake
-784,8112,14956,25468,-2602,-32768,shake
5976,7036,21528,21963,3173,-32768,shake
13828,2424,27176,8821,9961,-17001,shake
16252,304,27164,-5236,13375,7845,shake
13040,3080,25056,-15759,10676,27659,shake
6020,8168,22732,-22934,6030,32767,shake
-868,10428,19564,-26882,1260,32767,shake
-10204,5436,16292,-25286,-4442,31926,shake
-18496,-608,13384,-17510,-13092,15684,shake
-19912,-2212,10004,-9311,-17577,-7994,shake
-15996,2300,9028,-854,-15315,-30918,shake
-7916,6100,8840,7571,-10477,-32768,shake
-2480,7724,10128,14592,-2308,-32768,shake
1820,6372,14428,20747,1884,-32768,shake
9844,5696,21284,20563,2763,-32768,shake
19532,1916,28620,7678,4988,-17065,shake
20632,-468,26064,-6707,6273,11699,shake
16008,3456,23372,-15164,4200,32767,shake
9060,7948,21844,-20747,1302,32767,shake
628,8576,18508,-23126,-1415,32767,shake
-9988,2992,16152,-19651,-5312,32767,shake
-16568,-2032,13440,-12542,-11151,18385,shake
-16820,-3204,9992,-5631,-10363,-4440,shake
-12876,1008,9712,2341,-4122,-23367,shake
-7032,3840,8920,10516,2995,-32768,shake
-1540,5252,11176,18445,10669,-32768,shake
6112,2712,16220,22810,18434,-28948,shake
17112,-3776,25952,18154,22235,-9860,shake
17476,-1800,31708,2665,19115,15672,shake
12116,4540,29824,-15797,13915,32767,shake
6092,9504,23876,-28201,12663,32767,shake
-1928,10316,17624,-31575,7925,32767,shake
-11244,3624,12556,-25033,221,32420,shake
-1,-1,-1,-1,-1,-1,shake
-17512,-3616,9136,0,0,0,shake
-16008,-1288,8036,8005,-14503,-16073,shake
-13012,1928,9124,16764,-15904,-30154,shake
-7964,6092,11124,22895,-12490,-32768,shake
-1660,8044,13120,24582,-6572,-32768,shake
4828,5488,17104,25926,1715,-32768,shake
15884,-252,25284,19082,11113,-22638,shake
19924,-3248,28508,5276,18206,6288,shake
14388,1616,26768,-7916,17093,28933,shake
7868,7700,25036,-19575,14913,32767,shake
392,10924,20316,-28157,12000,32767,shake
-11840,5596,13792,-27847,6404,32767,shake
-21244,408,8996,-17128,-2036,13608,shake
-23964,-1232,5888,-3630,-8327,-10108,shake
-18696,1664,5596,10994,-10782,-32068,shake
-8600,7480,7168,22403,-8142,-32768,shake
888,8916,11968,28457,-1588,-32768,shake
18616,2724,21648,26947,12819,-26810,shake
23124,-620,30148,13565,25505,11290,shake
12696,3304,30912,-2538,19522,32767,shake
1024,10004,28820,-17319,9358,32767,shake
-10160,9788,20772,-27197,3411,32767,shake
-21936,4672,12280,-25715,-3091,16386,shake
-24764,1168,5640,-16079,-9685,-7516,shake
-19000,2120,2624,-253,-17264,-28670,shake
-9792,6732,4300,14697,-18299,-32768,shake
-1452,8264,8948,25614,-7839,-32768,shake
10220,4264,17484,27723,3418,-32768,shake
17148,1176,27712,18621,15340,-6892,shake
14628,2540,30964,2620,14478,15210,shake
9364,6600,29652,-12769,8379,28489,shake
1976,9584,24300,-24734,4601,32767,shake
-7096,7736,17152,-27404,1263,31915,shake
-15024,3336,10828,-20264,-4594,18257,shake
-20288,-228,5904,-7996,-10235,518,shake
-19716,984,3088,7207,-12934,-18348,shake
-13316,5572,5692,21819,-10787,-32768,shake
-5312,10352,8316,30930,-6615,-32768,shake
4904,10108,16204,32767,1472,-32768,shake
15048,5808,26216,25715,8987,-20915,shake
17140,4176,31956,10131,10277,2938,shake
13336,5488,31704,-7126,5340,20635,shake
2816,8460,26172,-21233,2948,30708,shake
-7752,8332,18732,-26489,-332,27584,shake
-14420,5236,12692,-22999,-4409,13592,shake
-17056,2128,7872,-12733,-9288,-5140,shake
-13836,3456,5908,589,-9564,-22004,shake
-6236,6124,7860,11040,-2705,-30434,shake
5656,2900,13480,16355,10457,-23696,shake
10152,-224,21664,13764,23940,-2333,shake
9056,3304,27464,4467,19765,12642,shake
6624,8900,28668,-8665,9095,19265,shake
3076,8172,24288,-20983,6829,24406,shake
-6168,5904,17452,-23855,2331,23935,shake
-11532,2952,13304,-18451,-2547,15472,shake
-11856,1712,9904,-10416,-6257,5048,shake
-9948,1648,8264,683,-10614,-4177,shake
-10792,2612,7612,10744,-17528,-13218,shake
-11048,5108,7996,19763,-25548,-24466,shake
-7924,7012,13436,26123,-1,-1,shake
-2304,8872,18124,0,0,0,shake
4196,5800,21324,14331,6468,-29987,shake
-1,-1,-1,-1,-1,-1,shake
14900,4956,24948,0,0,0,shake
16176,6184,25112,-8983,13370,18700,shake
10824,8276,23596,-17155,11870,32767,shake
3260,10552,20756,-23530,11612,32767,shake
-4492,9484,17092,-25399,7256,32767,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-13496,4824,7788,0,0,0,shake
-8060,9084,9704,18453,-19066,-32768,shake
-9464,15264,28084,0,0,0,shake
1736,9200,17572,21219,-1274,-32768,shake
9744,5420,23568,15535,7080,-28088,shake
15216,3004,28528,4146,12466,-8219,shake
14696,4824,27988,-10075,12399,11055,shake
11196,7316,24004,-20963,10238,24658,shake
5820,9336,19708,-26774,9269,32767,shake
1868,8484,17900,-27885,6828,32767,shake
-2684,5376,15900,-25232,3709,31936,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-9828,5420,8372,0,0,0,shake
-5404,7400,12340,26677,-10179,-32768,shake
-1192,7824,17436,27097,-1961,-32768,shake
4124,6320,22412,21435,5630,-32768,shake
10112,3176,25220,10961,13692,-17236,shake
12616,1904,24740,1555,15959,41,shake
12948,4480,24992,-7137,12444,15560,shake
9608,7228,22896,-15403,9556,27615,shake
4104,8740,19960,-20188,9214,32767,shake
-3008,6952,16388,-20576,6827,32767,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-13444,2752,10096,0,0,0,shake
-11312,4716,7148,8597,-17459,-24233,shake
-8716,7564,8336,17661,-21830,-32768,shake
-3712,8236,13188,23449,-10693,-32768,shake
-236,7024,17468,23023,935,-32768,shake
2128,6524,21068,17996,9277,-28523,shake
4128,5096,23092,10327,14120,-18424,shake
5472,4972,22132,3560,14057,-8717,shake
7756,5244,21212,-1847,12614,1267,shake
9804,4864,21028,-7170,12651,14886,shake
-4572,14472,31316,0,0,0,shake
1420,8240,19512,-16815,8445,32767,shake
-3036,7672,18352,-18013,3861,32085,shake
-5224,5700,16964,-17647,3720,28463,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-11152,4640,16228,0,0,0,shake
-10708,3684,13088,-12872,-4694,2181,shake
-11504,2492,10552,-6352,-7899,-4975,shake
-13972,2452,9436,1006,-13608,-15881,shake
-13180,5540,9076,8297,-23724,-29714,shake
-8220,9160,11144,14307,-25747,-32768,shake
-2676,9240,13324,16469,-13742,-32768,shake
-756,6540,15428,16993,-5448,-32768,shake
2224,6984,18952,15909,-1186,-32768,shake
7356,7800,23200,9327,737,-32768,shake
11060,5924,23884,-832,726,-20497,shake
12156,2608,20928,-8443,1935,-4791,shake
-1,-1,-1,-1,-1,-1,shake
9252,4096,18952,-11693,6242,26319,shake
5228,7340,18924,-13649,5098,32767,shake
3764,6832,18856,-15228,4338,32767,shake
-1312,3832,19000,-15558,3611,32767,shake
-6776,3012,18300,-16224,4194,31240,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-7596,4468,10648,0,0,0,shake
-4668,4992,13152,22292,-2063,-32768,shake
-1460,4936,18200,23678,1691,-32768,shake
3636,5036,23988,18064,5776,-30880,shake
10716,1636,25708,5758,14527,-14961,shake
11336,-160,20820,-1880,24110,7135,shake
8228,2908,18368,-3881,22674,22751,shake
6360,6504,18956,-4239,17084,29302,shake
5256,8072,19884,-6477,14276,32767,shake
-2592,7096,18676,-9701,10943,32767,shake
-9104,3980,19216,-11490,10784,32767,shake
-13636,3768,17800,-14034,8996,26699,shake
